x,n,m,delta,sorting_async,server_async,client_async,sorting_nonblock,server_nonblock,client_nonblock,sorting_threaded,server_threaded,client_threaded
5,0,5,0,0,0,79,1,3,270,0,4,88
5,10000,5,0,118,120,672,172,174,1182,119,123,670
5,20000,5,0,274,274,1432,438,439,2322,309,310,1648
5,30000,5,0,688,689,3541,917,918,4700,835,837,4278
5,40000,5,0,1344,1345,6870,1814,1814,9248,1360,1361,6972
5,50000,5,0,2537,2538,12906,3838,3840,19498,2515,2517,12825
5,60000,5,0,4620,4621,23391,5942,5944,30034,3999,4001,20304
5,70000,5,0,6230,6231,31478,7969,7970,40216,6337,6340,32028
5,80000,5,0,8163,8164,41246,10388,10390,52466,8498,8501,42920
5,90000,5,0,9204,9205,46528,12639,12642,63961,11082,11085,55844
5,100000,5,0,12884,12885,64956,16811,16813,84853,12649,12654,63764
