x,n,m,delta,sorting_async,server_async,client_async,sorting_nonblock,server_nonblock,client_nonblock,sorting_threaded,server_threaded,client_threaded
6,5000,5,0,112,115,890,46,50,438,40,45,377
6,5000,10,0,317,367,2476,39,46,335,28,36,273
6,5000,15,0,170,300,1963,33,52,403,28,50,347
6,5000,20,0,51,123,775,32,69,475,27,59,408
6,5000,25,0,51,151,966,33,91,613,27,57,434
6,5000,30,0,51,185,1148,32,96,649,26,87,572
6,5000,35,0,54,212,1337,33,105,687,27,112,711
6,5000,40,0,51,248,1532,33,128,828,27,104,758
6,5000,45,0,52,277,1705,34,154,988,27,133,868
6,5000,50,0,51,301,1870,33,158,1018,29,112,909
6,5000,55,0,49,294,1805,35,171,1088,28,144,988
6,5000,60,0,46,320,1961,34,210,1352,27,109,976
6,5000,65,0,35,249,1522,35,211,1356,28,113,1036
6,5000,70,0,32,218,1339,36,273,1731,29,213,1362
6,5000,75,0,32,251,1545,35,235,1502,29,226,1472
6,5000,80,0,33,306,1865,37,329,2078,29,249,1656
6,5000,85,0,33,296,1810,41,397,2496,30,148,1454
6,5000,90,0,39,395,2399,46,431,2713,30,148,1533
6,5000,95,0,44,475,2896,45,493,3112,38,209,1977
6,5000,100,0,44,507,3096,45,496,3152,38,303,2276
